"","term","estimate","std.error","statistic","p.value","signif"
"1","M_eventChanged employer, voluntary",0.35993445768685,0.0304190380137322,11.8325391330378,3.30286325234952e-32,"***"
"2","M_eventChanged employer, involuntary",0.0822457602681062,0.0591932575529954,1.38944473860848,0.164711317002673," "
"3","M_eventChanged employer, other",0.0836645341394556,0.0427600784042423,1.956603852512,0.0504064252337518,"."
"4","M_eventSame employer, voluntary",0.13590251671731,0.0330251960079327,4.11511612783965,3.88363502982079e-05,"***"
"5","M_eventSame employer, involuntary",-0.0480500465679232,0.127463773840428,-0.376970217656328,0.706199296546552," "
"6","M_eventSame employer, other",0.0450740228762335,0.0536706974812735,0.839825547114615,0.401015139774485," "
"7","age",-0.0858588783331485,0.029507642624218,-2.90971662584394,0.00362111258335446,"**"
"8","age_sq",0.000547197035229943,0.000132024728557222,4.14465563542346,3.41570889608604e-05,"***"
"9","permanent1",-0.0203199675790947,0.0638153569759518,-0.318418144816648,0.750170734839858," "
"10","jbsize100-500",0.0190262278134484,0.0263850232871883,0.721099527044456,0.470855781983986," "
"11","jbsize500+",0.0331640433281565,0.0323107401554507,1.0264092734676,0.304709754246824," "
"12","nchild1",0.105508920733487,0.0292439121448562,3.60789350654801,0.000309362671019177,"***"
"13","nchild2",0.132226783039136,0.036315135112775,3.64109296656922,0.000272092468465962,"***"
"14","nchild3+",0.182938159668072,0.0595468958568455,3.07216954025389,0.00212763009994183,"**"
"15","isco102",0.0998265326458498,0.0414964978657805,2.40566162881351,0.016151233877509,"*"
"16","isco103",0.141761983301578,0.0370426078078654,3.82699792727544,0.000130066750435353,"***"
"17","isco104",0.134277135903881,0.0390480703287552,3.43876495748366,0.000585433773156857,"***"
"18","isco105",0.0923647992269543,0.0459527591428429,2.00999463252774,0.0444436828609657,"*"
"19","isco106",0.277559692562926,0.148495996898243,1.86913922503327,0.0616164411150249,"."
"20","isco107",0.0392451202609659,0.0515726196923953,0.760968135709284,0.446684082645211," "
"21","isco108",-0.0700798706942778,0.0559089477655731,-1.25346431108172,0.21004981726169," "
"22","isco109",0.106125206596014,0.0532799177367196,1.99184253850441,0.0464004159668115,"*"
"23","indust1",0.287237072198351,0.134735633092027,2.13185677468234,0.033029434692388,"*"
"24","indust2",0.15395152133203,0.101609246357465,1.51513299085423,0.129752790137086," "
"25","indust3",0.287597133404728,0.248069447542482,1.1593412097049,0.246329445953547," "
"26","indust4",-0.0535936263443455,0.0475649776285953,-1.12674553876224,0.259862111454394," "
"27","indust5",0.125063845100434,0.0699377505686971,1.78821657950792,0.0737545372531049,"."
"28","indust6",-0.112258324840431,0.0485099178928062,-2.31413141305436,0.020669485351874,"*"
"29","indust7",-0.121786999591194,0.0611945069794989,-1.99016228093797,0.0465851545080327,"*"
"30","indust8",0.146959746850285,0.0717234306683963,2.04897821368492,0.0404758304660251,"*"
"31","indust9",-0.0468587133239874,0.038817243479023,-1.20716231046416,0.227382345288929," "
"32","wave11",0.118773307762364,0.0412273191007921,2.8809369697794,0.00396869872158917,"**"
"33","wave12",0.124598261597514,0.0640352931812344,1.9457748283415,0.0516942412617379,"."
"34","wave13",0.138654471366161,0.0905476300722147,1.53128769086037,0.12571237962416," "
"35","wave14",0.271625731706523,0.117100692107994,2.319591172493,0.0203719179178085,"*"
"36","wave15",0.301669792011495,0.143705664775905,2.09921990536643,0.0358086435585443,"*"
"37","wave16",0.367118668362426,0.170465296294701,2.15362702170036,0.0312800335299293,"*"
"38","wave17",0.410208867960295,0.19768377598386,2.07507604465116,0.0379908357429897,"*"
"39","wave18",0.4411878232239,0.225015493808868,1.96069975340744,0.0499263891005179,"*"
