"","term","estimate","std.error","statistic","p.value","signif"
"1","M_eventChanged employer, voluntary",0.0127184203172534,0.00658057715654223,1.93272109948731,0.0532831260815601,"."
"2","M_eventChanged employer, involuntary",-0.0516587002890049,0.0128231438307688,-4.02855188795832,5.63061621097059e-05,"***"
"3","M_eventChanged employer, other",-0.0881394629644458,0.00926624488815455,-9.5118857777133,2.05466889936803e-21,"***"
"4","M_eventSame employer, voluntary",0.0257551023108187,0.0071447024198658,3.60478306825023,0.000313089973502042,"***"
"5","M_eventSame employer, involuntary",-0.0776202924150265,0.0275622131385597,-2.81618504380678,0.00486400428223858,"**"
"6","M_eventSame employer, other",-0.023386214182961,0.0116379427208736,-2.00948008972548,0.0444981882338474,"*"
"7","jbhrs",0.0138236424998088,0.000277840442851197,49.7538888073695,0,"***"
"8","age",0.0494259050020211,0.0063973549698043,7.72599070011165,1.1562285453384e-14,"***"
"9","age_sq",-0.000666350644226929,2.86238279368617e-05,-23.2795783183424,1.80597869110662e-118,"***"
"10","permanent1",0.0704820588896099,0.0138119953292228,5.10295994239785,3.37106712211837e-07,"***"
"11","jbsize100-500",0.0251969491431875,0.00571106931956249,4.41194944997057,1.02920706987318e-05,"***"
"12","jbsize500+",0.0490835291154546,0.00699050274674065,7.02145909868071,2.25823253538833e-12,"***"
"13","nchild1",-0.0321094398764688,0.00634843569037907,-5.0578506962164,4.27346654673035e-07,"***"
"14","nchild2",-0.0587321128782168,0.00790587820452588,-7.42891698541402,1.13399352926265e-13,"***"
"15","nchild3+",-0.0571821714232512,0.0129259975232868,-4.42381110782629,9.74307011849252e-06,"***"
"16","isco102",-0.0448626909759052,0.00898636354406762,-4.99230759538117,6.01087672487526e-07,"***"
"17","isco103",-0.0662200282083431,0.00801250424589651,-8.26458572452635,1.47863038932515e-16,"***"
"18","isco104",-0.0952810154990202,0.00844920464074228,-11.2769212665974,2.04714012979296e-29,"***"
"19","isco105",-0.139766468720633,0.00995085406067383,-14.0456756644634,1.26536039473639e-44,"***"
"20","isco106",-0.100947318848286,0.0323107461516177,-3.12426455194171,0.00178477006505495,"**"
"21","isco107",-0.0535702563274044,0.01115157530831,-4.80382859339026,1.56664433639297e-06,"***"
"22","isco108",-0.0684208461757811,0.0120888068548365,-5.65985105042913,1.5335183206946e-08,"***"
"23","isco109",-0.150316094643217,0.0115277641558086,-13.039483859277,1.00869491171975e-38,"***"
"24","indust1",-0.0182088841497192,0.0291361890010432,-0.62495764799807,0.532005206471299," "
"25","indust2",0.0862574993161364,0.0219732927748493,3.92556091615305,8.67860133714551e-05,"***"
"26","indust3",0.0112779457411903,0.0536423687190812,0.21024324634603,0.833479735940327," "
"27","indust4",0.00806089221335176,0.0102935521590417,0.78310111891464,0.43357599443775," "
"28","indust5",0.03328536305986,0.0151267138064876,2.20043583065506,0.0277861346053203,"*"
"29","indust6",-0.0309858361919849,0.0105003467881748,-2.95093455645487,0.00317141323331938,"**"
"30","indust7",-0.00265436397125364,0.0132560483361754,-0.200237952060718,0.841296300377631," "
"31","indust8",0.0185909797920172,0.0155089476753627,1.19872606324868,0.23064713268015," "
"32","indust9",0.0150280918332677,0.00839753268880639,1.78958420171435,0.0735342535551519,"."
"33","wave11",0.0639016947930503,0.00892825092015126,7.15724674010032,8.48462510300333e-13,"***"
"34","wave12",0.123117646826163,0.0138729881248839,8.87463073693024,7.53025194852063e-19,"***"
"35","wave13",0.172538549469607,0.0196198879945608,8.79406393744145,1.54419227029764e-18,"***"
"36","wave14",0.231632842253814,0.0253772213791622,9.12758882436251,7.5795189003316e-20,"***"
"37","wave15",0.286392054673493,0.03114226397277,9.19625030870931,4.02057293935737e-20,"***"
"38","wave16",0.334061974789029,0.0369443591775439,9.04229988625932,1.65534679667755e-19,"***"
"39","wave17",0.380365246816537,0.0428402746920705,8.87868365808915,7.26184450830531e-19,"***"
"40","wave18",0.425130108773202,0.0487661715096724,8.71772574332353,3.03166026632022e-18,"***"
